,action,reward,load,location_y,location_x
0,2,-1.0,0,2,0
1,0,0.0,0,2,1
2,0,0.0,0,2,1
3,0,0.0,0,2,1
4,0,0.0,0,2,1
5,0,0.0,0,2,1
6,0,0.0,0,2,1
7,0,0.0,0,2,1
8,0,0.0,0,2,1
9,3,-1.0,0,2,1
10,4,-1.0,0,3,1
11,3,6.5,0,3,0
12,1,-1.0,1,4,0
13,1,6.5,1,3,0
14,2,-1.0,0,2,0
15,3,-1.0,0,2,1
16,3,-1.0,0,3,1
17,2,6.5,0,4,1
18,4,-1.0,1,4,2
19,1,-1.0,1,4,1
20,4,-1.0,1,3,1
21,1,6.5,1,3,0
22,2,-1.0,0,2,0
23,0,0.0,0,2,1
24,0,0.0,0,2,1
25,0,0.0,0,2,1
26,2,-1.0,0,2,1
27,0,0.0,0,2,2
28,3,-1.0,0,2,2
29,2,6.5,0,3,2
30,4,-1.0,1,3,3
31,4,-1.0,1,3,2
32,4,-1.0,1,3,1
33,1,6.5,1,3,0
34,2,-1.0,0,2,0
35,2,-1.0,0,2,1
36,2,6.5,0,2,2
37,4,-1.0,1,2,3
38,4,-1.0,1,2,2
39,4,6.5,1,2,1
40,1,-1.0,0,2,0
41,2,-1.0,0,1,0
42,2,6.5,0,1,1
43,3,-1.0,1,1,2
44,4,-1.0,1,2,2
45,4,6.5,1,2,1
46,2,-1.0,0,2,0
47,2,-1.0,0,2,1
48,2,-1.0,0,2,2
49,2,6.5,0,2,3
50,4,-1.0,1,2,4
51,4,-1.0,1,2,3
52,4,-1.0,1,2,2
53,4,6.5,1,2,1
54,1,-1.0,0,2,0
55,2,-1.0,0,1,0
56,2,6.5,0,1,1
57,4,-1.0,1,1,2
58,3,-1.0,1,1,1
59,4,6.5,1,2,1
60,2,-1.0,0,2,0
61,3,-1.0,0,2,1
62,2,-1.0,0,3,1
63,2,6.5,0,3,2
64,4,-1.0,1,3,3
65,1,-1.0,1,3,2
66,4,-1.0,1,2,2
67,4,6.5,1,2,1
68,2,-1.0,0,2,0
69,0,0.0,0,2,1
70,0,0.0,0,2,1
71,0,0.0,0,2,1
72,0,0.0,0,2,1
73,2,-1.0,0,2,1
74,1,-1.0,0,2,2
75,2,-1.0,0,1,2
76,4,6.5,0,1,3
77,4,-1.0,1,1,2
78,4,-1.0,1,1,1
79,3,6.5,1,1,0
80,2,-1.0,0,2,0
81,1,-1.0,0,2,1
82,1,6.5,0,1,1
83,4,-1.0,1,0,1
84,3,-1.0,1,0,0
85,3,6.5,1,1,0
86,2,-1.0,0,2,0
87,0,0.0,0,2,1
88,2,-1.0,0,2,1
89,0,0.0,0,2,2
90,3,-1.0,0,2,2
91,3,6.5,0,3,2
92,4,-1.0,1,4,2
93,1,-1.0,1,4,1
94,4,-1.0,1,3,1
95,1,6.5,1,3,0
96,2,-1.0,0,2,0
97,2,6.5,0,2,1
98,4,-1.0,1,2,2
99,4,6.5,1,2,1
100,2,-1.0,0,2,0
101,2,-1.0,0,2,1
102,3,6.5,0,2,2
103,1,-1.0,1,3,2
104,4,-1.0,1,2,2
105,4,6.5,1,2,1
106,2,-1.0,0,2,0
107,0,0.0,0,2,1
108,0,0.0,0,2,1
109,0,0.0,0,2,1
110,0,0.0,0,2,1
111,0,0.0,0,2,1
112,2,-1.0,0,2,1
113,3,-1.0,0,2,2
114,2,6.5,0,3,2
115,4,-1.0,1,3,3
116,1,-1.0,1,3,2
117,4,-1.0,1,2,2
118,4,6.5,1,2,1
119,2,-1.0,0,2,0
120,0,0.0,0,2,1
121,0,0.0,0,2,1
122,2,6.5,0,2,1
123,4,-1.0,1,2,2
124,4,6.5,1,2,1
125,2,-1.0,0,2,0
126,0,0.0,0,2,1
127,0,0.0,0,2,1
128,0,0.0,0,2,1
129,0,0.0,0,2,1
130,2,-1.0,0,2,1
131,1,6.5,0,2,2
132,4,-1.0,1,1,2
133,4,-1.0,1,1,1
134,3,6.5,1,1,0
135,0,0.0,0,2,0
136,0,0.0,0,2,0
137,4,0.0,0,2,0
138,4,0.0,0,2,0
139,2,6.5,0,2,0
140,4,6.5,1,2,1
141,2,-1.0,0,2,0
142,0,0.0,0,2,1
143,0,0.0,0,2,1
144,1,-1.0,0,2,1
145,1,6.5,0,1,1
146,4,-1.0,1,0,1
147,3,-1.0,1,0,0
148,3,6.5,1,1,0
149,2,-1.0,0,2,0
150,2,-1.0,0,2,1
151,2,-1.0,0,2,2
152,4,-1.0,0,2,3
153,2,-1.0,0,2,2
154,4,-1.0,0,2,3
155,4,-1.0,0,2,2
156,4,-1.0,0,2,1
157,1,6.5,0,2,0
158,3,6.5,1,1,0
159,2,-1.0,0,2,0
160,2,-1.0,0,2,1
161,2,-1.0,0,2,2
162,2,6.5,0,2,3
163,4,-1.0,1,2,4
164,4,-1.0,1,2,3
165,4,-1.0,1,2,2
166,4,6.5,1,2,1
167,2,-1.0,0,2,0
168,2,-1.0,0,2,1
169,3,-1.0,0,2,2
170,4,-1.0,0,3,2
171,1,-1.0,0,3,1
172,1,6.5,0,2,1
173,4,-1.0,1,1,1
174,3,6.5,1,1,0
175,3,6.5,0,2,0
176,1,6.5,1,3,0
177,2,-1.0,0,2,0
178,0,0.0,0,2,1
179,0,0.0,0,2,1
180,0,0.0,0,2,1
181,0,0.0,0,2,1
182,0,0.0,0,2,1
183,0,0.0,0,2,1
184,0,0.0,0,2,1
185,0,0.0,0,2,1
186,0,0.0,0,2,1
187,1,-1.0,0,2,1
188,2,6.5,0,1,1
189,4,-1.0,1,1,2
190,3,-1.0,1,1,1
191,4,6.5,1,2,1
192,2,-1.0,0,2,0
193,0,0.0,0,2,1
194,2,6.5,0,2,1
195,4,-1.0,1,2,2
196,4,6.5,1,2,1
197,2,-1.0,0,2,0
198,0,0.0,0,2,1
199,0,0.0,0,2,1
200,2,-1.0,0,2,0
201,0,0.0,0,2,1
202,2,-1.0,0,2,1
203,1,-1.0,0,2,2
204,2,6.5,0,1,2
205,4,-1.0,1,1,3
206,4,-1.0,1,1,2
207,3,-1.0,1,1,1
208,4,6.5,1,2,1
209,2,-1.0,0,2,0
210,2,-1.0,0,2,1
211,1,-1.0,0,2,2
212,2,6.5,0,1,2
213,4,-1.0,1,1,3
214,3,-1.0,1,1,2
215,4,-1.0,1,2,2
216,4,6.5,1,2,1
217,1,-1.0,0,2,0
218,2,-1.0,0,1,0
219,2,-1.0,0,1,1
220,2,6.5,0,1,2
221,4,-1.0,1,1,3
222,4,-1.0,1,1,2
223,3,-1.0,1,1,1
224,4,6.5,1,2,1
225,1,-1.0,0,2,0
226,1,-1.0,0,1,0
227,2,6.5,0,0,0
228,4,-1.0,1,0,1
229,3,-1.0,1,0,0
230,3,6.5,1,1,0
231,2,-1.0,0,2,0
232,0,0.0,0,2,1
233,0,0.0,0,2,1
234,0,0.0,0,2,1
235,0,0.0,0,2,1
236,0,0.0,0,2,1
237,0,0.0,0,2,1
238,0,0.0,0,2,1
239,0,0.0,0,2,1
240,0,0.0,0,2,1
241,0,0.0,0,2,1
242,2,-1.0,0,2,1
243,0,0.0,0,2,2
244,0,0.0,0,2,2
245,0,0.0,0,2,2
246,0,0.0,0,2,2
247,1,-1.0,0,2,2
248,2,-1.0,0,1,2
249,2,6.5,0,1,3
250,4,-1.0,1,1,4
251,4,-1.0,1,1,3
252,4,-1.0,1,1,2
253,3,-1.0,1,1,1
254,4,6.5,1,2,1
255,3,-1.0,0,2,0
256,2,6.5,0,3,0
257,4,-1.0,1,3,1
258,1,6.5,1,3,0
259,3,-1.0,0,2,0
260,3,6.5,0,3,0
261,1,-1.0,1,4,0
262,1,6.5,1,3,0
263,2,-1.0,0,2,0
264,1,-1.0,0,2,1
265,1,6.5,0,1,1
266,3,-1.0,1,0,1
267,4,-1.0,1,1,1
268,3,6.5,1,1,0
269,0,0.0,0,2,0
270,2,-1.0,0,2,0
271,2,-1.0,0,2,1
272,1,-1.0,0,2,2
273,1,-1.0,0,1,2
274,2,6.5,0,0,2
275,4,-1.0,1,0,3
276,4,-1.0,1,0,2
277,4,-1.0,1,0,1
278,3,-1.0,1,0,0
279,3,6.5,1,1,0
280,2,-1.0,0,2,0
281,2,6.5,0,2,1
282,4,-1.0,1,2,2
283,4,6.5,1,2,1
284,2,-1.0,0,2,0
285,0,0.0,0,2,1
286,2,-1.0,0,2,1
287,3,6.5,0,2,2
288,1,-1.0,1,3,2
289,4,-1.0,1,2,2
290,4,6.5,1,2,1
291,2,-1.0,0,2,0
292,0,0.0,0,2,1
293,0,0.0,0,2,1
294,0,0.0,0,2,1
295,0,0.0,0,2,1
296,0,0.0,0,2,1
297,3,6.5,0,2,1
298,1,-1.0,1,3,1
299,4,6.5,1,2,1
300,1,-1.0,0,2,0
301,1,-1.0,0,1,0
302,2,6.5,0,0,0
303,4,-1.0,1,0,1
304,3,-1.0,1,0,0
305,3,6.5,1,1,0
306,2,-1.0,0,2,0
307,2,-1.0,0,2,1
308,0,0.0,0,2,2
309,0,0.0,0,2,2
310,0,0.0,0,2,2
311,0,0.0,0,2,2
312,0,0.0,0,2,2
313,0,0.0,0,2,2
314,0,0.0,0,2,2
315,0,0.0,0,2,2
316,4,-1.0,0,2,2
317,1,6.5,0,2,1
318,3,-1.0,1,1,1
319,4,6.5,1,2,1
320,2,-1.0,0,2,0
321,0,0.0,0,2,1
322,0,0.0,0,2,1
323,0,0.0,0,2,1
324,0,0.0,0,2,1
325,0,0.0,0,2,1
326,2,-1.0,0,2,1
327,3,-1.0,0,2,2
328,2,-1.0,0,3,2
329,2,6.5,0,3,3
330,4,-1.0,1,3,4
331,4,-1.0,1,3,3
332,1,-1.0,1,3,2
333,4,-1.0,1,2,2
334,4,6.5,1,2,1
335,2,-1.0,0,2,0
336,1,6.5,0,2,1
337,3,-1.0,1,1,1
338,4,6.5,1,2,1
339,2,-1.0,0,2,0
340,2,-1.0,0,2,1
341,3,-1.0,0,2,2
342,2,6.5,0,3,2
343,4,-1.0,1,3,3
344,1,-1.0,1,3,2
345,4,-1.0,1,2,2
346,4,6.5,1,2,1
347,2,-1.0,0,2,0
348,0,0.0,0,2,1
349,0,0.0,0,2,1
350,4,-1.0,0,2,1
351,1,6.5,0,2,0
352,3,6.5,1,1,0
353,2,-1.0,0,2,0
354,0,0.0,0,2,1
355,0,0.0,0,2,1
356,0,0.0,0,2,1
357,0,0.0,0,2,1
358,2,-1.0,0,2,1
359,3,-1.0,0,2,2
360,3,-1.0,0,3,2
361,2,6.5,0,4,2
362,4,-1.0,1,4,3
363,4,-1.0,1,4,2
364,4,-1.0,1,4,1
365,1,-1.0,1,4,0
366,1,6.5,1,3,0
367,1,6.5,0,2,0
368,3,6.5,1,1,0
369,2,-1.0,0,2,0
370,2,-1.0,0,2,1
371,2,6.5,0,2,2
372,4,-1.0,1,2,3
373,4,-1.0,1,2,2
374,4,6.5,1,2,1
375,2,-1.0,0,2,0
376,2,-1.0,0,2,1
377,3,-1.0,0,2,2
378,3,-1.0,0,3,2
379,2,6.5,0,4,2
380,4,-1.0,1,4,3
381,4,-1.0,1,4,2
382,4,-1.0,1,4,1
383,1,-1.0,1,4,0
384,1,6.5,1,3,0
385,2,-1.0,0,2,0
386,3,-1.0,0,2,1
387,2,-1.0,0,3,1
388,2,6.5,0,3,2
389,1,-1.0,1,3,3
390,4,-1.0,1,2,3
391,4,-1.0,1,2,2
392,4,6.5,1,2,1
393,3,-1.0,0,2,0
394,3,6.5,0,3,0
395,1,-1.0,1,4,0
396,1,6.5,1,3,0
397,2,-1.0,0,2,0
398,2,6.5,0,2,1
399,0,0.0,1,2,2
400,2,-1.0,0,2,0
401,0,0.0,0,2,1
402,0,0.0,0,2,1
403,2,-1.0,0,2,1
404,2,-1.0,0,2,2
405,2,6.5,0,2,3
406,4,-1.0,1,2,4
407,4,-1.0,1,2,3
408,4,-1.0,1,2,2
409,4,6.5,1,2,1
410,2,-1.0,0,2,0
411,2,-1.0,0,2,1
412,1,-1.0,0,2,2
413,2,-1.0,0,1,2
414,2,6.5,0,1,3
415,4,-1.0,1,1,4
416,4,-1.0,1,1,3
417,4,-1.0,1,1,2
418,4,-1.0,1,1,1
419,3,6.5,1,1,0
420,2,-1.0,0,2,0
421,2,-1.0,0,2,1
422,1,-1.0,0,2,2
423,2,-1.0,0,1,2
424,2,6.5,0,1,3
425,4,-1.0,1,1,4
426,4,-1.0,1,1,3
427,3,-1.0,1,1,2
428,4,-1.0,1,2,2
429,4,6.5,1,2,1
430,1,6.5,0,2,0
431,3,6.5,1,1,0
432,2,-1.0,0,2,0
433,0,0.0,0,2,1
434,0,0.0,0,2,1
435,4,-1.0,0,2,1
436,3,6.5,0,2,0
437,1,6.5,1,3,0
438,2,-1.0,0,2,0
439,0,0.0,0,2,1
440,0,0.0,0,2,1
441,0,0.0,0,2,1
442,0,0.0,0,2,1
443,0,0.0,0,2,1
444,1,-1.0,0,2,1
445,2,6.5,0,1,1
446,4,-1.0,1,1,2
447,3,-1.0,1,1,1
448,4,6.5,1,2,1
449,2,-1.0,0,2,0
450,0,0.0,0,2,1
451,2,-1.0,0,2,1
452,3,6.5,0,2,2
453,4,-1.0,1,3,2
454,4,-1.0,1,3,1
455,1,6.5,1,3,0
456,2,-1.0,0,2,0
457,3,-1.0,0,2,1
458,2,6.5,0,3,1
459,4,-1.0,1,3,2
460,4,-1.0,1,3,1
461,1,6.5,1,3,0
462,1,-1.0,0,2,0
463,1,-1.0,0,1,0
464,2,6.5,0,0,0
465,4,-1.0,1,0,1
466,3,-1.0,1,0,0
467,3,6.5,1,1,0
468,2,-1.0,0,2,0
469,2,-1.0,0,2,1
470,3,6.5,0,2,2
471,1,-1.0,1,3,2
472,4,-1.0,1,2,2
473,4,6.5,1,2,1
474,2,-1.0,0,2,0
475,0,0.0,0,2,1
476,0,0.0,0,2,1
477,0,0.0,0,2,1
478,2,-1.0,0,2,1
479,3,-1.0,0,2,2
480,2,6.5,0,3,2
481,4,-1.0,1,3,3
482,4,-1.0,1,3,2
483,4,-1.0,1,3,1
484,1,6.5,1,3,0
485,2,-1.0,0,2,0
486,2,-1.0,0,2,1
487,3,-1.0,0,2,2
488,3,6.5,0,3,2
489,4,-1.0,1,4,2
490,4,-1.0,1,4,1
491,1,-1.0,1,4,0
492,1,6.5,1,3,0
493,3,6.5,0,2,0
494,1,6.5,1,3,0
495,2,-1.0,0,2,0
496,2,6.5,0,2,1
497,4,-1.0,1,2,2
498,4,6.5,1,2,1
499,2,-1.0,0,2,0
500,2,-1.0,0,2,1
501,0,0.0,0,2,2
502,0,0.0,0,2,2
503,0,0.0,0,2,2
504,0,0.0,0,2,2
505,3,-1.0,0,2,2
506,2,-1.0,0,3,2
507,0,0.0,0,3,3
508,0,0.0,0,3,3
509,0,0.0,0,3,3
510,0,0.0,0,3,3
511,0,0.0,0,3,3
512,0,0.0,0,3,3
513,0,0.0,0,3,3
514,0,7.5,0,3,3
515,4,-1.0,1,3,3
516,4,-1.0,1,3,2
517,4,-1.0,1,3,1
518,1,6.5,1,3,0
519,3,-1.0,0,2,0
520,3,6.5,0,3,0
521,1,-1.0,1,4,0
522,4,0.0,1,3,0
523,4,0.0,1,3,0
524,4,0.0,1,3,0
525,1,6.5,1,3,0
526,2,-1.0,0,2,0
527,2,-1.0,0,2,1
528,0,0.0,0,2,2
529,0,0.0,0,2,2
530,1,-1.0,0,2,2
531,1,-1.0,0,1,2
532,2,6.5,0,0,2
533,4,-1.0,1,0,3
534,3,-1.0,1,0,2
535,4,-1.0,1,1,2
536,4,-1.0,1,1,1
537,3,6.5,1,1,0
538,2,-1.0,0,2,0
539,2,-1.0,0,2,1
540,0,7.5,0,2,2
541,4,-1.0,1,2,2
542,4,6.5,1,2,1
543,1,-1.0,0,2,0
544,2,-1.0,0,1,0
545,1,-1.0,0,1,1
546,2,-1.0,0,0,1
547,2,6.5,0,0,2
548,3,-1.0,1,0,3
549,3,-1.0,1,1,3
550,4,-1.0,1,2,3
551,4,-1.0,1,2,2
552,4,6.5,1,2,1
553,3,-1.0,0,2,0
554,2,6.5,0,3,0
555,4,-1.0,1,3,1
556,1,6.5,1,3,0
557,0,0.0,0,2,0
558,0,0.0,0,2,0
559,2,-1.0,0,2,0
560,2,-1.0,0,2,1
561,0,0.0,0,2,2
562,0,0.0,0,2,2
563,0,0.0,0,2,2
564,0,0.0,0,2,2
565,3,-1.0,0,2,2
566,4,-1.0,0,3,2
567,3,6.5,0,3,1
568,4,-1.0,1,4,1
569,1,-1.0,1,4,0
570,1,6.5,1,3,0
571,2,-1.0,0,2,0
572,2,-1.0,0,2,1
573,3,-1.0,0,2,2
574,2,-1.0,0,3,2
575,2,6.5,0,3,3
576,4,-1.0,1,3,4
577,4,-1.0,1,3,3
578,1,-1.0,1,3,2
579,4,-1.0,1,2,2
580,4,6.5,1,2,1
581,2,-1.0,0,2,0
582,2,-1.0,0,2,1
583,3,6.5,0,2,2
584,1,-1.0,1,3,2
585,4,-1.0,1,2,2
586,4,6.5,1,2,1
587,1,-1.0,0,2,0
588,1,-1.0,0,1,0
589,2,6.5,0,0,0
590,3,-1.0,1,0,1
591,4,-1.0,1,1,1
592,3,6.5,1,1,0
593,2,-1.0,0,2,0
594,3,-1.0,0,2,1
595,2,6.5,0,3,1
596,1,-1.0,1,3,2
597,4,-1.0,1,2,2
598,4,6.5,1,2,1
599,2,-1.0,0,2,0
600,2,-1.0,0,2,0
601,2,-1.0,0,2,1
602,1,-1.0,0,2,2
603,2,6.5,0,1,2
604,3,-1.0,1,1,3
605,4,-1.0,1,2,3
606,4,-1.0,1,2,2
607,4,6.5,1,2,1
608,1,6.5,0,2,0
609,3,6.5,1,1,0
610,2,-1.0,0,2,0
611,3,-1.0,0,2,1
612,0,7.5,0,3,1
613,4,-1.0,1,3,1
614,1,6.5,1,3,0
615,2,-1.0,0,2,0
616,3,-1.0,0,2,1
617,3,-1.0,0,3,1
618,2,6.5,0,4,1
619,4,-1.0,1,4,2
620,4,-1.0,1,4,1
621,1,-1.0,1,4,0
622,1,6.5,1,3,0
623,2,-1.0,0,2,0
624,2,-1.0,0,2,1
625,2,6.5,0,2,2
626,4,-1.0,1,2,3
627,4,-1.0,1,2,2
628,4,6.5,1,2,1
629,2,6.5,0,2,0
630,4,6.5,1,2,1
631,2,-1.0,0,2,0
632,0,0.0,0,2,1
633,0,0.0,0,2,1
634,0,0.0,0,2,1
635,2,-1.0,0,2,1
636,3,-1.0,0,2,2
637,3,-1.0,0,3,2
638,2,6.5,0,4,2
639,4,-1.0,1,4,3
640,4,-1.0,1,4,2
641,1,-1.0,1,4,1
642,4,-1.0,1,3,1
643,1,6.5,1,3,0
644,1,6.5,0,2,0
645,3,6.5,1,1,0
646,2,-1.0,0,2,0
647,2,-1.0,0,2,1
648,2,-1.0,0,2,2
649,2,6.5,0,2,3
650,4,-1.0,1,2,4
651,4,-1.0,1,2,3
652,4,-1.0,1,2,2
653,4,6.5,1,2,1
654,1,6.5,0,2,0
655,3,6.5,1,1,0
656,2,-1.0,0,2,0
657,1,-1.0,0,2,1
658,1,-1.0,0,1,1
659,2,6.5,0,0,1
660,4,-1.0,1,0,2
661,3,-1.0,1,0,1
662,4,-1.0,1,1,1
663,3,6.5,1,1,0
664,0,0.0,0,2,0
665,2,-1.0,0,2,0
666,2,-1.0,0,2,1
667,3,-1.0,0,2,2
668,3,-1.0,0,3,2
669,2,6.5,0,4,2
670,4,-1.0,1,4,3
671,4,-1.0,1,4,2
672,1,-1.0,1,4,1
673,4,-1.0,1,3,1
674,1,6.5,1,3,0
675,2,6.5,0,2,0
676,4,6.5,1,2,1
677,2,-1.0,0,2,0
678,2,-1.0,0,2,1
679,1,-1.0,0,2,2
680,1,6.5,0,1,2
681,4,-1.0,1,0,2
682,3,-1.0,1,0,1
683,3,-1.0,1,1,1
684,4,6.5,1,2,1
685,2,-1.0,0,2,0
686,0,0.0,0,2,1
687,2,-1.0,0,2,1
688,3,-1.0,0,2,2
689,3,-1.0,0,3,2
690,2,6.5,0,4,2
691,4,-1.0,1,4,3
692,4,-1.0,1,4,2
693,1,-1.0,1,4,1
694,4,-1.0,1,3,1
695,1,6.5,1,3,0
696,2,-1.0,0,2,0
697,0,0.0,0,2,1
698,0,0.0,0,2,1
699,0,0.0,0,2,1
700,1,-1.0,0,2,1
701,2,6.5,0,1,1
702,3,-1.0,1,1,2
703,4,-1.0,1,2,2
704,4,6.5,1,2,1
705,1,-1.0,0,2,0
706,2,-1.0,0,1,0
707,2,-1.0,0,1,1
708,2,6.5,0,1,2
709,4,-1.0,1,1,3
710,3,-1.0,1,1,2
711,4,-1.0,1,2,2
712,4,6.5,1,2,1
713,3,-1.0,0,2,0
714,2,6.5,0,3,0
715,1,-1.0,1,3,1
716,4,6.5,1,2,1
717,2,-1.0,0,2,0
718,2,-1.0,0,2,1
719,4,-1.0,0,2,2
720,2,-1.0,0,2,1
721,4,-1.0,0,2,2
722,4,-1.0,0,2,1
723,1,6.5,0,2,0
724,3,6.5,1,1,0
725,1,-1.0,0,2,0
726,2,-1.0,0,1,0
727,2,-1.0,0,1,1
728,2,6.5,0,1,2
729,4,-1.0,1,1,3
730,4,-1.0,1,1,2
731,3,-1.0,1,1,1
732,4,6.5,1,2,1
733,2,-1.0,0,2,0
734,3,-1.0,0,2,1
735,3,-1.0,0,3,1
736,2,6.5,0,4,1
737,4,-1.0,1,4,2
738,1,-1.0,1,4,1
739,4,-1.0,1,3,1
740,1,6.5,1,3,0
741,3,-1.0,0,2,0
742,2,6.5,0,3,0
743,4,-1.0,1,3,1
744,1,6.5,1,3,0
745,2,6.5,0,2,0
746,4,6.5,1,2,1
747,1,-1.0,0,2,0
748,1,-1.0,0,1,0
749,2,-1.0,0,0,0
750,2,6.5,0,0,1
751,4,-1.0,1,0,2
752,3,-1.0,1,0,1
753,4,-1.0,1,1,1
754,3,6.5,1,1,0
755,2,-1.0,0,2,0
756,2,-1.0,0,2,1
757,3,6.5,0,2,2
758,4,-1.0,1,3,2
759,4,-1.0,1,3,1
760,1,6.5,1,3,0
761,2,-1.0,0,2,0
762,2,-1.0,0,2,1
763,3,-1.0,0,2,2
764,3,-1.0,0,3,2
765,2,6.5,0,4,2
766,1,-1.0,1,4,3
767,4,-1.0,1,3,3
768,4,-1.0,1,3,2
769,1,-1.0,1,3,1
770,4,6.5,1,2,1
771,2,-1.0,0,2,0
772,2,-1.0,0,2,1
773,2,6.5,0,2,2
774,4,-1.0,1,2,3
775,4,-1.0,1,2,2
776,4,6.5,1,2,1
777,1,-1.0,0,2,0
778,2,-1.0,0,1,0
779,2,6.5,0,1,1
780,4,-1.0,1,1,2
781,4,-1.0,1,1,1
782,3,6.5,1,1,0
783,2,-1.0,0,2,0
784,2,6.5,0,2,1
785,4,-1.0,1,2,2
786,4,6.5,1,2,1
787,2,-1.0,0,2,0
788,2,-1.0,0,2,1
789,2,6.5,0,2,2
790,4,-1.0,1,2,3
791,4,-1.0,1,2,2
792,4,6.5,1,2,1
793,2,6.5,0,2,0
794,4,6.5,1,2,1
795,2,-1.0,0,2,0
796,1,-1.0,0,2,1
797,2,6.5,0,1,1
798,0,0.0,1,1,2
799,0,0.0,1,1,2
800,2,-1.0,0,2,0
801,0,0.0,0,2,1
802,0,0.0,0,2,1
803,0,0.0,0,2,1
804,0,0.0,0,2,1
805,0,0.0,0,2,1
806,0,0.0,0,2,1
807,0,0.0,0,2,1
808,0,0.0,0,2,1
809,0,0.0,0,2,1
810,0,0.0,0,2,1
811,0,0.0,0,2,1
812,0,0.0,0,2,1
813,0,0.0,0,2,1
814,2,-1.0,0,2,1
815,1,-1.0,0,2,2
816,2,6.5,0,1,2
817,4,-1.0,1,1,3
818,4,-1.0,1,1,2
819,4,-1.0,1,1,1
820,3,6.5,1,1,0
821,2,-1.0,0,2,0
822,2,-1.0,0,2,1
823,2,6.5,0,2,2
824,4,-1.0,1,2,3
825,4,-1.0,1,2,2
826,4,6.5,1,2,1
827,2,-1.0,0,2,0
828,1,6.5,0,2,1
829,3,-1.0,1,1,1
830,4,6.5,1,2,1
831,1,-1.0,0,2,0
832,2,-1.0,0,1,0
833,2,-1.0,0,1,1
834,2,6.5,0,1,2
835,4,-1.0,1,1,3
836,4,-1.0,1,1,2
837,3,-1.0,1,1,1
838,4,6.5,1,2,1
839,2,-1.0,0,2,0
840,0,0.0,0,2,1
841,0,0.0,0,2,1
842,0,0.0,0,2,1
843,0,0.0,0,2,1
844,0,0.0,0,2,1
845,0,0.0,0,2,1
846,0,0.0,0,2,1
847,0,0.0,0,2,1
848,0,0.0,0,2,1
849,0,7.5,0,2,1
850,4,6.5,1,2,1
851,2,-1.0,0,2,0
852,0,0.0,0,2,1
853,0,0.0,0,2,1
854,0,0.0,0,2,1
855,0,0.0,0,2,1
856,0,0.0,0,2,1
857,0,0.0,0,2,1
858,0,0.0,0,2,1
859,0,0.0,0,2,1
860,0,0.0,0,2,1
861,0,0.0,0,2,1
862,0,0.0,0,2,1
863,2,-1.0,0,2,1
864,2,6.5,0,2,2
865,4,-1.0,1,2,3
866,4,-1.0,1,2,2
867,4,6.5,1,2,1
868,2,-1.0,0,2,0
869,2,-1.0,0,2,1
870,3,-1.0,0,2,2
871,2,-1.0,0,3,2
872,2,6.5,0,3,3
