step,agent_y,agent_x,agent_load,rew,action,put/take
0,2,0,0,0.0,0,stay
1,2,0,0,0.0,0,stay
2,2,0,0,0.0,0,stay
3,2,0,0,0.0,0,stay
4,1,0,1,6.5,1,take
5,1,0,1,0.0,0,stay
6,1,0,1,0.0,0,stay
7,1,1,1,-1.0,2,walk
8,1,2,1,-1.0,2,walk
9,1,3,1,-1.0,2,walk
10,1,4,2,6.5,2,take
11,1,4,2,0.0,0,stay
12,1,4,2,0.0,0,stay
13,1,4,2,0.0,0,stay
14,1,4,2,0.0,0,stay
15,1,4,2,0.0,0,stay
16,1,4,2,0.0,0,stay
17,1,4,2,0.0,0,stay
18,1,4,2,0.0,0,stay
19,1,4,2,0.0,0,stay
20,1,4,2,0.0,0,stay
21,1,4,2,0.0,0,stay
22,1,4,2,0.0,0,stay
23,1,4,2,0.0,0,stay
24,1,4,2,0.0,0,stay
25,1,4,2,0.0,0,stay
26,1,4,2,0.0,0,stay
27,1,4,2,0.0,0,stay
28,1,4,2,0.0,0,stay
29,1,4,2,0.0,0,stay
30,1,4,2,0.0,0,stay
31,1,4,2,0.0,0,stay
32,1,4,2,0.0,0,stay
33,2,4,2,-1.0,3,walk
34,3,4,2,-1.0,3,walk
35,3,3,2,-1.0,4,walk
36,3,2,2,-1.0,4,walk
37,3,1,3,6.5,4,take
38,3,0,3,-1.0,4,walk
39,2,0,0,21.5,1,put
40,2,1,0,-1.0,2,walk
41,1,1,0,-1.0,1,walk
42,0,1,1,6.5,1,take
43,0,1,1,0.0,0,stay
44,0,1,1,0.0,0,stay
45,0,1,1,0.0,0,stay
46,0,1,1,0.0,0,stay
47,0,1,1,0.0,0,stay
48,0,1,1,0.0,0,stay
49,0,1,1,0.0,0,stay
50,0,1,1,0.0,0,stay
51,0,2,2,6.5,2,take
52,0,3,2,-1.0,2,walk
53,0,4,2,-1.0,2,walk
54,1,4,2,-1.0,3,walk
55,2,4,3,6.5,3,take
56,2,3,3,-1.0,4,walk
57,2,2,3,-1.0,4,walk
58,2,1,3,-1.0,4,walk
59,2,0,0,21.5,4,put
60,2,1,0,-1.0,2,walk
61,1,1,0,-1.0,1,walk
62,1,2,0,-1.0,2,walk
63,0,2,1,6.5,1,take
64,0,3,2,6.5,2,take
65,1,3,2,-1.0,3,walk
66,2,3,3,6.5,3,take
67,2,2,3,-1.0,4,walk
68,2,1,3,-1.0,4,walk
69,2,0,0,21.5,4,put
70,2,1,1,6.5,2,take
71,2,2,1,-1.0,2,walk
72,3,2,2,6.5,3,take
73,3,1,2,-1.0,4,walk
74,4,1,3,6.5,3,take
75,4,0,3,-1.0,4,walk
76,3,0,3,-1.0,1,walk
77,2,0,0,21.5,1,put
78,2,1,0,-1.0,2,walk
79,3,1,0,-1.0,3,walk
80,3,2,0,-1.0,2,walk
81,3,3,0,-1.0,2,walk
82,4,3,1,6.5,3,take
83,3,3,1,-1.0,1,walk
84,2,3,1,-1.0,1,walk
85,1,3,2,6.5,1,take
86,1,2,3,6.5,4,take
87,1,1,3,-1.0,4,walk
88,1,0,3,-1.0,4,walk
89,2,0,0,21.5,3,put
90,2,1,0,-1.0,2,walk
91,1,1,0,-1.0,1,walk
92,0,1,1,6.5,1,take
93,0,2,1,-1.0,2,walk
94,0,3,1,-1.0,2,walk
95,0,4,1,-1.0,2,walk
96,1,4,1,-1.0,3,walk
97,1,3,1,-1.0,4,walk
98,1,2,1,-1.0,4,walk
99,1,1,1,-1.0,4,walk
100,1,0,2,6.5,4,take
101,1,1,2,-1.0,2,walk
102,1,2,2,-1.0,2,walk
103,0,2,3,6.5,1,take
104,0,1,3,-1.0,4,walk
105,0,0,3,-1.0,4,walk
